SECTOR_ID,NCELL_ID,RATIO_ALL,RANK,COSITE
253907-2,253917-2,3.51966179,3,0
253907-2,253913-0,1.009931553,4,0
253907-2,253912-1,0.956247484,5,0
253907-2,253933-0,0.848879345,6,0
253907-2,253902-0,0.422762045,7,0
253907-2,253907-0,0.154341699,0,1
253907-2,253899-2,0.083881358,8,0
253907-2,253926-0,0.060394578,9,0
253907-2,259772-1,0.016776272,10,0
253907-2,253935-2,0.010065763,11,0
253907-2,253895-1,0.003355254,12,0
253907-2,253927-2,0,13,0
253907-2,124712-1,0,14,0
253907-2,253914-1,0,15,0
253907-2,253916-1,0,16,0
253907-2,253913-2,0,17,0
253907-2,253933-1,0,18,0
253907-2,253928-0,0,19,0
253908-0,253891-0,17.58358019,1,0
253908-0,253908-1,13.69022429,0,1
253908-0,253910-2,11.82818451,2,0
253908-0,253909-1,5.607278883,3,0
253908-0,259782-0,0.846381718,4,0
253908-0,253908-2,0.825222175,0,1
253908-0,253924-0,0.232754972,5,0
253908-0,253914-0,0.21159543,6,0
253908-0,259782-2,0.190435887,7,0
253908-0,253922-0,0.021159543,8,0
253908-0,253907-0,0,9,0
253908-2,253910-2,72.08480565,1,0
253908-2,253911-1,26.85512367,2,0
253908-2,253932-1,22.08480565,3,0
253908-2,253918-2,0,4,0
253910-0,253911-1,14.44502527,1,0
253910-0,253910-0,3.580763199,0,1
253910-0,253910-2,3.114654121,0,1
253910-0,253911-0,3.036243248,2,0
253910-0,253896-2,2.853284544,3,0
253910-0,253908-2,1.211012371,4,0
253910-0,253910-1,0.121972469,0,1
253910-0,253914-0,0.013068479,5,0
253910-0,253932-1,0.013068479,6,0
253910-0,253908-1,0.013068479,7,0
253910-0,253934-0,0.008712319,8,0
253910-0,253902-1,0.00435616,9,0
253910-0,253934-1,0,10,0
253910-0,253930-129,0,11,0
253910-0,253914-2,0,12,0
253910-0,15113-128,0,13,0
253910-0,253918-2,0,14,0
253910-0,7400-128,0,15,0
253910-0,253921-1,0,16,0
253910-0,15113-129,0,17,0
253910-0,124688-0,0,18,0
253910-0,253934-2,0,19,0
253910-2,253911-1,16.1726013,1,0
253910-2,253908-2,14.26065603,2,0
253910-2,253908-0,4.937730223,3,0
253910-2,253910-0,0.824416769,0,1
253910-2,253932-1,0.491141905,4,0
253910-2,253908-1,0.412208384,5,0
253910-2,253914-0,0.052622347,6,0
253910-2,253896-2,0,7,0
253910-2,253921-1,0,8,0
253910-2,253910-1,0,0,1
253910-2,253918-2,0,9,0
253910-2,7400-128,0,10,0
253911-1,253911-1,20.08154944,0,1
253911-1,253910-2,16.61569827,1,0
253911-1,253896-2,5.744866754,2,0
253911-1,253910-0,4.157565167,3,0
253911-1,253911-0,3.626037571,0,1
253911-1,253908-2,2.803261978,4,0
253911-1,253910-1,0.495121596,5,0
253911-1,253914-0,0.087374399,6,0
253911-1,253932-1,0.072811999,7,0
253911-1,15113-129,0.036406,8,0
253911-1,253908-1,0.0072812,9,0
253911-1,273933-129,0,10,0
253911-1,253918-2,0,11,0
253911-1,253934-0,0,12,0
253911-1,253921-1,0,13,0
253911-1,7400-128,0,14,0
253911-1,253902-1,0,15,0
253911-1,253914-2,0,16,0
253912-0,253935-2,11.11711387,1,0
253912-0,253912-2,6.422954559,0,1
253912-0,253912-1,4.67915241,0,1
253912-0,259772-0,3.814754787,2,0
253912-0,259772-2,3.769734078,3,0
253912-0,253890-2,3.010384777,4,0
253912-0,253935-0,1.18254397,5,0
253912-0,253907-0,0.483222282,6,0
253912-0,253899-2,0.156071793,7,0
253912-0,253890-1,0.006002761,8,0
253912-0,253921-1,0,9,0
253912-0,124673-0,0,10,0
253912-0,253902-0,0,11,0
253912-0,253891-1,0,12,0
253912-1,253902-0,8.858792185,1,0
253912-1,253912-0,8.348134991,0,1
253912-1,259772-2,7.249111901,2,0
253912-1,253933-2,2.642095915,3,0
253912-1,253907-2,1.942717584,4,0
253912-1,253935-2,0.621669627,5,0
253912-1,253912-2,0.521758437,0,1
253912-1,253917-2,0.088809947,6,0
253912-1,253935-0,0.055506217,7,0
253912-1,253927-2,0,8,0
253912-1,253910-1,0,9,0
253912-2,253912-0,28.3661608,0,1
253912-2,253890-2,24.41072005,1,0
253912-2,253892-1,5.440749112,2,0
253912-2,253892-2,5.360025831,3,0
253912-2,253890-1,0.742654181,4,0
253912-2,253892-0,0.355182435,5,0
253912-2,253912-1,0.355182435,0,1
253912-2,259772-2,0.064578624,6,0
253912-2,253921-1,0.048433968,7,0
253912-2,253935-0,0,8,0
253912-2,253940-0,0,9,0
253913-0,253907-2,18.88181883,1,0
253913-0,253933-0,6.059197827,2,0
253913-0,253933-1,6.005576607,3,0
253913-0,253917-2,4.493458211,4,0
253913-0,253916-1,0.117966683,5,0
253913-0,253913-1,0.085793952,0,1
253913-0,253913-2,0.05362122,0,1
253913-0,15114-130,0,6,0
253913-0,253905-2,0,7,0
253913-0,253890-2,0,8,0
253913-0,253891-0,0,9,0
253913-0,259772-2,0,10,0
253913-1,253926-2,28.01111797,1,0
253913-1,253907-1,14.70660902,2,0
253913-1,253917-2,14.67572576,3,0
253913-1,253917-0,7.492279185,4,0
253913-1,253929-1,3.508338481,5,0
253913-1,253913-0,3.409512044,0,1
253913-1,253926-1,3.193329216,6,0
253913-1,253907-2,2.989499691,7,0
253913-1,253913-2,0.938851143,0,1
253913-1,253916-1,0.05558987,8,0
253913-1,15117-130,0,9,0
253913-1,259781-2,0,10,0
253913-1,253935-1,0,11,0
253913-1,253933-0,0,12,0
253913-1,124818-1,0,13,0
253914-1,253890-1,35.53383459,1,0
253914-1,15113-129,20.57142857,2,0
253914-1,253935-0,12.01503759,3,0
253914-1,253899-0,6.315789474,4,0
253914-1,259772-0,5.112781955,5,0
253914-1,253935-1,3.864661654,6,0
253914-1,253904-1,0.060150376,7,0
253914-2,15113-129,1.586869786,1,0
253914-2,253914-1,1.403699674,0,1
253914-2,253909-2,0.886833515,2,0
253914-2,253935-0,0.770765325,3,0
253914-2,259772-0,0.194051505,4,0
253914-2,253907-0,0.01994922,5,0
253914-2,253914-0,0,0,1
253914-2,253911-1,0,6,0
253914-2,253892-2,0,7,0
253914-2,253940-0,0,8,0
253914-2,253933-1,0,9,0
