CITY,SCELL,NCELL,HOATT,HOSUCC,HOSUCCRATE
sanxia,15115-130,124898-0,1557,1557,1
sanxia,15115-130,253915-2,1508,1506,0.9987
sanxia,15115-130,253920-2,1102,1102,1
sanxia,15115-130,124898-1,888,876,0.9865
sanxia,15115-130,253938-0,567,567,1
sanxia,15115-130,259782-1,229,225,0.9825
sanxia,15115-130,15115-129,184,184,1
sanxia,15115-130,5660-128,173,172,0.9942
sanxia,15115-130,15116-130,112,101,0.9018
sanxia,15115-130,253922-0,86,85,0.9884
sanxia,15115-130,253918-1,40,40,1
sanxia,15115-130,15117-128,35,35,1
sanxia,15115-130,259779-1,34,33,0.9706
sanxia,15115-130,253937-2,17,16,0.9412
sanxia,15115-130,7336-144,8,4,0.5
sanxia,15115-130,253918-0,6,6,1
sanxia,15115-130,7367-144,2,0,0
sanxia,15115-130,15116-129,2,2,1
sanxia,15115-130,253929-0,2,2,1
sanxia,15115-130,253937-1,1,1,1
sanxia,15115-130,15116-128,1,1,1
sanxia,15115-130,259782-2,1,1,1
sanxia,15116-128,259782-2,3390,3389,0.9997
sanxia,15116-128,124898-1,2483,2482,0.9996
sanxia,15116-128,15116-129,2321,2316,0.9978
sanxia,15116-128,15116-130,1489,1489,1
sanxia,15116-128,253924-1,950,950,1
sanxia,15116-128,253920-2,176,176,1
sanxia,15116-128,259779-2,130,130,1
sanxia,15116-128,259779-1,102,102,1
sanxia,15116-128,259779-0,44,44,1
sanxia,15116-128,253900-1,43,43,1
sanxia,15116-128,253891-1,26,25,0.9615
sanxia,15116-128,253937-0,20,20,1
sanxia,15116-128,253920-0,19,19,1
sanxia,15116-128,259782-1,17,17,1
sanxia,15116-128,253924-2,6,6,1
sanxia,15116-128,124898-0,4,4,1
sanxia,15116-128,15117-130,1,1,1
sanxia,15116-128,253915-0,1,1,1
sanxia,15116-128,253923-1,1,1,1
sanxia,15116-129,259782-2,3756,3756,1
sanxia,15116-129,253924-1,2716,2716,1
sanxia,15116-129,124898-1,2297,2297,1
sanxia,15116-129,15116-128,2209,2204,0.9977
sanxia,15116-129,15116-130,2052,2051,0.9995
sanxia,15116-129,259779-2,1120,1120,1
sanxia,15116-129,253920-2,542,542,1
sanxia,15116-129,259779-1,453,452,0.9978
sanxia,15116-129,253920-0,383,383,1
sanxia,15116-129,124898-0,360,354,0.9833
sanxia,15116-129,253900-1,328,328,1
sanxia,15116-129,259779-0,182,182,1
sanxia,15116-129,259782-1,180,177,0.9833
sanxia,15116-129,253937-0,95,95,1
sanxia,15116-129,253937-1,31,31,1
sanxia,15116-129,253920-1,29,29,1
sanxia,15116-129,15115-128,28,28,1
sanxia,15116-129,15115-129,14,14,1
sanxia,15116-129,124923-1,14,14,1
sanxia,15116-129,15117-130,14,14,1
sanxia,15116-129,253938-0,11,10,0.9091
sanxia,15116-129,253922-1,6,6,1
sanxia,15116-129,15115-130,5,5,1
sanxia,15116-129,253924-2,4,4,1
sanxia,15116-129,253937-2,2,2,1
sanxia,15116-130,124898-1,13662,13618,0.9968
sanxia,15116-130,253920-2,7575,7568,0.9991
sanxia,15116-130,259779-1,4882,4877,0.999
sanxia,15116-130,15116-129,2225,2222,0.9987
sanxia,15116-130,15116-128,1408,1405,0.9979
sanxia,15116-130,259782-2,1266,1264,0.9984
sanxia,15116-130,253918-2,1003,1003,1
sanxia,15116-130,253918-1,968,968,1
sanxia,15116-130,253920-1,687,683,0.9942
sanxia,15116-130,259779-2,485,479,0.9876
sanxia,15116-130,253900-1,408,406,0.9951
sanxia,15116-130,253924-1,395,393,0.9949
sanxia,15116-130,253937-0,299,299,1
sanxia,15116-130,259782-1,229,225,0.9825
sanxia,15116-130,253918-0,202,199,0.9851
sanxia,15116-130,259779-0,149,149,1
sanxia,15116-130,253938-0,134,134,1
sanxia,15116-130,15117-128,133,132,0.9925
sanxia,15116-130,7336-144,122,114,0.9344
sanxia,15116-130,253929-0,117,114,0.9744
sanxia,15116-130,253891-1,107,107,1
sanxia,15116-130,15115-130,104,94,0.9038
sanxia,15116-130,15117-130,102,102,1
sanxia,15116-130,253900-2,68,67,0.9853
sanxia,15116-130,253920-0,67,67,1
sanxia,15116-130,274142-144,58,54,0.931
sanxia,15116-130,7367-144,30,30,1
sanxia,15116-130,15114-129,24,23,0.9583
sanxia,15116-130,124924-1,18,18,1
sanxia,15116-130,253929-1,17,17,1
sanxia,15116-130,15114-130,11,10,0.9091
sanxia,15116-130,124898-0,2,1,0.5
sanxia,15116-130,253924-2,2,1,0.5
sanxia,15117-128,253918-2,1841,1839,0.9989
sanxia,15117-128,253922-0,1636,1636,1
sanxia,15117-128,15117-130,1156,1154,0.9983
sanxia,15117-128,253918-1,1071,1070,0.9991
sanxia,15117-128,15117-129,692,692,1
sanxia,15117-128,259779-1,572,572,1
sanxia,15117-128,47593-16,246,230,0.935
sanxia,15117-128,15116-130,141,138,0.9787
sanxia,15117-128,259779-2,84,84,1
sanxia,15117-128,253929-2,83,83,1
sanxia,15117-128,253937-0,81,81,1
sanxia,15117-128,253920-2,63,63,1
sanxia,15117-128,253920-1,42,42,1
sanxia,15117-128,15115-130,30,30,1
sanxia,15117-128,253922-1,21,21,1
sanxia,15117-128,253917-0,15,15,1
sanxia,15117-128,253918-0,6,6,1
sanxia,15117-128,253900-1,3,3,1
sanxia,15117-128,253924-2,2,2,1
sanxia,15117-128,7299-144,1,0,0
sanxia,15117-129,253922-2,18676,18667,0.9995
sanxia,15117-129,253919-2,5685,5676,0.9984
sanxia,15117-129,253922-1,1667,1667,1
sanxia,15117-129,253917-1,1535,1529,0.9961
sanxia,15117-129,253922-0,1130,1130,1
sanxia,15117-129,253919-1,1108,1106,0.9982
sanxia,15117-129,253938-2,982,981,0.999
sanxia,15117-129,253919-0,688,687,0.9985
sanxia,15117-129,5660-130,671,668,0.9955
sanxia,15117-129,253938-0,564,563,0.9982
sanxia,15117-129,15117-128,495,495,1
sanxia,15117-129,15116-130,247,243,0.9838
sanxia,15117-129,253920-1,211,210,0.9953
sanxia,15117-129,253938-1,104,104,1
sanxia,15117-129,253929-2,63,63,1
sanxia,15117-129,124924-1,38,37,0.9737
sanxia,15117-129,253937-2,32,32,1
sanxia,15117-129,15117-130,31,31,1
sanxia,15117-129,5660-128,19,19,1
sanxia,15117-129,253928-1,4,4,1
sanxia,15117-129,259779-2,2,2,1
sanxia,15117-129,253918-2,1,1,1
sanxia,15117-130,253929-2,13828,13819,0.9993
sanxia,15117-130,253918-0,5498,5489,0.9984
sanxia,15117-130,253918-2,5031,5027,0.9992
