S_SECTOR_ID,N_SECTOR_ID,S_EARFCN,N_EARFCN
124689-2,47469-0,38400,38400
124689-2,47469-1,38400,38400
124689-2,47469-2,38400,38400
124689-2,47470-1,38400,38400
124689-2,47470-2,38400,38400
124689-2,124689-0,38400,38400
124689-2,124689-1,38400,38400
124689-2,124689-3,38400,38400
124689-2,124697-2,38400,38400
124689-2,124893-1,38400,38400
124689-2,124893-2,38400,38400
124689-2,259584-3,38400,38400
124689-2,259627-0,38400,38400
124689-2,259627-1,38400,38400
124689-2,259627-2,38400,38400
124689-2,273937-129,38400,38400
124689-2,259627-3,38400,37900
124689-2,259627-4,38400,37900
124689-2,259627-5,38400,37900
124689-3,15487-128,38400,38400
124689-3,15487-129,38400,38400
124689-3,15487-130,38400,38400
124689-3,15592-128,38400,38400
124689-3,124689-0,38400,38400
124689-3,124689-1,38400,38400
124689-3,124689-2,38400,38400
124689-3,124691-1,38400,38400
124689-3,124893-0,38400,38400
124689-3,124893-2,38400,38400
124689-3,259627-0,38400,38400
124689-3,259627-1,38400,38400
124689-3,273937-128,38400,38400
124689-3,273937-129,38400,38400
124689-3,259627-3,38400,37900
124689-3,259627-4,38400,37900
124691-0,7196-128,38400,38400
124691-0,7196-129,38400,38400
124691-0,7196-130,38400,38400
124691-0,7197-128,38400,38400
124691-0,7197-129,38400,38400
124691-0,15485-128,38400,38400
124691-0,15485-129,38400,38400
124691-0,15487-128,38400,38400
124691-0,15487-130,38400,38400
124691-0,47439-1,38400,38400
124691-0,47439-2,38400,38400
124691-0,124691-1,38400,38400
124691-0,124691-2,38400,38400
124691-0,124697-1,38400,38400
124691-0,259594-0,38400,38400
124691-0,259594-1,38400,38400
124691-0,259594-2,38400,38400
124691-0,273937-128,38400,38400
124691-0,273937-129,38400,38400
124691-0,5882-144,38400,38950
124691-1,7196-129,38400,38400
124691-1,7197-129,38400,38400
124691-1,15487-128,38400,38400
124691-1,15487-129,38400,38400
124691-1,15487-130,38400,38400
124691-1,47470-1,38400,38400
124691-1,124689-0,38400,38400
124691-1,124689-1,38400,38400
124691-1,124689-3,38400,38400
124691-1,124691-0,38400,38400
124691-1,124691-2,38400,38400
124691-1,124893-2,38400,38400
124691-1,259594-1,38400,38400
124691-1,259594-2,38400,38400
124691-1,273937-128,38400,38400
124691-1,273937-129,38400,38400
124691-1,5882-144,38400,38950
124691-2,7197-128,38400,38400
124691-2,7197-129,38400,38400
124691-2,7197-130,38400,38400
124691-2,15485-129,38400,38400
124691-2,15486-128,38400,38400
124691-2,15486-129,38400,38400
124691-2,15487-128,38400,38400
124691-2,15487-130,38400,38400
124691-2,47439-2,38400,38400
124691-2,47470-0,38400,38400
124691-2,47470-1,38400,38400
124691-2,124689-0,38400,38400
124691-2,124691-0,38400,38400
124691-2,124691-1,38400,38400
124691-2,124697-1,38400,38400
124691-2,124697-2,38400,38400
124691-2,124893-2,38400,38400
124691-2,259594-1,38400,38400
124691-2,259594-2,38400,38400
