S_SECTOR_ID,N_SECTOR_ID
124684-2,253949-0
124684-2,259761-1
124684-2,259682-0
124684-2,259781-0
124685-0,15290-128
124685-0,124685-2
124685-0,124687-0
124685-0,124687-1
124685-0,5691-128
124685-0,124673-0
124685-0,124711-1
124685-0,124683-1
124685-0,259595-1
124685-0,124685-1
124685-0,15290-129
124685-0,124683-0
124685-0,253932-0
124685-0,124687-2
124685-0,124711-2
124685-0,7201-128
124685-0,259595-0
124685-0,253930-128
124685-1,253932-0
124685-1,124687-2
124685-1,124711-2
124685-1,15290-128
124685-1,124711-1
124685-1,124673-0
124685-1,124687-1
124685-1,124683-1
124685-1,124687-0
124685-1,124685-0
124685-1,124683-0
124685-1,15290-129
124685-1,259595-1
124685-1,7201-128
124685-1,124685-2
124685-1,253930-128
124685-1,5691-128
124685-1,259595-0
124685-2,253898-0
124685-2,15290-129
124685-2,124683-2
124685-2,259655-1
124685-2,253932-0
124685-2,124711-1
124685-2,5691-128
124685-2,253930-128
124685-2,253930-130
124685-2,259595-0
124685-2,7202-128
124685-2,124673-1
124685-2,253904-0
124685-2,259654-1
124685-2,124711-2
124685-2,15290-128
124685-2,124812-0
124685-2,124687-2
124685-2,124673-0
124685-2,7202-129
124685-2,7201-128
124685-2,124687-0
124685-2,253901-2
124685-2,253930-129
124685-2,124687-1
124685-2,47444-1
124685-2,124683-0
124685-2,259595-1
124685-2,253901-0
124685-2,124683-1
124685-2,259595-2
124685-2,124685-1
124685-2,124711-0
124685-2,124685-0
124687-0,124683-0
124687-0,253932-0
124687-0,124685-0
124687-0,124685-2
124687-0,124687-2
124687-0,259595-0
124687-0,124711-1
124687-0,5691-128
124687-0,124673-0
124687-0,253930-128
124687-0,124711-2
124687-0,259595-1
124687-0,15290-128
124687-0,7201-128
124687-0,124687-1
124687-0,124683-1
124687-0,124685-1
124687-0,15290-129
124687-1,253930-128
124687-1,5691-128
124687-1,124687-0
124687-1,259595-0
124687-1,124673-0
124687-1,15290-128
124687-1,124683-1
124687-1,124685-1
124687-1,259595-1
124687-1,124683-0
124687-1,253932-0
124687-1,15290-129
124687-1,124685-0
124687-1,124687-2
124687-1,124711-1
124687-1,124711-2
124687-1,7201-128
124687-1,124685-2
124687-2,7201-128
124687-2,124685-2
124687-2,15290-128
124687-2,124711-1
124687-2,253930-130
124687-2,124683-1
124687-2,253901-0
124687-2,259595-1
124687-2,259595-2
124687-2,253901-2
124687-2,253930-129
124687-2,124685-1
124687-2,15290-129
124687-2,124683-0
124687-2,259654-1
124687-2,124685-0
124687-2,124683-2
124687-2,253898-0
124687-2,253932-0
124687-2,259655-1
124687-2,124812-0
124687-2,124711-2
124687-2,253930-128
124687-2,124673-1
124687-2,253904-0
124687-2,7202-128
124687-2,259595-0
124687-2,47444-1
124687-2,124687-1
124687-2,5691-128
124687-2,124687-0
124687-2,124711-0
124687-2,7202-129
124687-2,124673-0
124689-0,253950-2
124689-0,47469-2
124689-0,15427-128
124689-0,15592-128
124689-0,15487-129
124689-0,15486-128
124689-0,124697-0
124689-0,47470-2
124689-0,259761-3
124689-0,15514-129
124689-0,259584-0
124689-0,259781-0
124689-0,124697-2
124689-0,124678-1
124689-0,274143-144
124689-0,273929-128
