起始时间,网元/基站名称,小区,小区名称,RRC连接建立完成次数 (无),RRC连接请求次数（包括重发） (无),RRC建立成功率qf (%),E-RAB建立成功总次数 (无),E-RAB建立尝试总次数 (无),E-RAB建立成功率2 (%),eNodeB触发的E-RAB异常释放总次数 (无),小区切换出E-RAB异常释放总次数 (无),E-RAB掉线率(新) (%),无线接通率ay (%),eNodeB发起的S1 RESET导致的UE Context释放次数 (无),UE Context异常释放次数 (无),UE Context建立成功总次数 (无),无线掉线率 (%),eNodeB内异频切换出成功次数 (无),eNodeB内异频切换出尝试次数 (无),eNodeB内同频切换出成功次数 (无),eNodeB内同频切换出尝试次数 (无),eNodeB间异频切换出成功次数 (无),eNodeB间异频切换出尝试次数 (无),eNodeB间同频切换出成功次数 (无),eNodeB间同频切换出尝试次数 (无),eNB内切换成功率 (%),eNB间切换成功率 (%),同频切换成功率zsp (%),异频切换成功率zsp (%),切换成功率 (%),小区PDCP层所接收到的上行数据的总吞吐量 (比特),小区PDCP层所发送的下行数据的总吞吐量 (比特),RRC重建请求次数 (无),RRC连接重建比率 (%),通过重建回源小区的eNodeB间同频切换出执行成功次数 (无),通过重建回源小区的eNodeB间异频切换出执行成功次数 (无),通过重建回源小区的eNodeB内同频切换出执行成功次数 (无),通过重建回源小区的eNodeB内异频切换出执行成功次数 (无),eNB内切换出成功次数 (次),eNB内切换出请求次数 (次)
07/18/2020 00:00:00,B马西工区-HLHF,"eNodeB名称=B马西工区-HLHF, 本地小区标识=2, 小区名称=B马西工区-HLHF-3, eNodeB标识=253931, 小区双工模式=CELL_TDD",B马西工区-HLHF-3,48807,48848,0.999,46673,46675,1,36,0,0.001,1,0,33,42834,0.001,0,0,3505,3505,0,0,5398,5404,0.999,0.998,0.999,0,0.999,4027436760,30521288168,138,0.003,5,0,2,0,3503,3505
07/19/2020 00:00:00,B马西工区-HLHF,"eNodeB名称=B马西工区-HLHF, 本地小区标识=0, 小区名称=B马西工区-HLHF-1, eNodeB标识=253931, 小区双工模式=CELL_TDD",B马西工区-HLHF-1,44941,45014,0.998,41984,41990,1,27,0,0.001,1,0,24,40889,0.001,0,0,9976,9976,93,94,9110,9118,1,0.998,0.999,0.979,0.999,4437311584,46776284488,162,0.004,8,1,1,0,9975,9976
07/19/2020 00:00:00,B马西工区-HLHF,"eNodeB名称=B马西工区-HLHF, 本地小区标识=1, 小区名称=B马西工区-HLHF-2, eNodeB标识=253931, 小区双工模式=CELL_TDD",B马西工区-HLHF-2,107214,107446,0.998,100041,100068,1,85,0,0.001,0.999,0,88,93556,0.001,0,0,9893,9894,0,0,12843,12873,0.999,0.996,0.998,0,0.998,9243023368,76663993360,344,0.003,17,0,4,0,9889,9894
07/19/2020 00:00:00,B马西工区-HLHF,"eNodeB名称=B马西工区-HLHF, 本地小区标识=2, 小区名称=B马西工区-HLHF-3, eNodeB标识=253931, 小区双工模式=CELL_TDD",B马西工区-HLHF-3,54759,54814,0.999,52806,52813,1,34,0,0.001,1,0,46,49933,0.001,0,0,2562,2562,0,0,5203,5214,0.998,0.997,0.997,0,0.997,4805701368,42443149120,236,0.004,5,0,4,0,2558,2562
07/17/2020 00:00:00,B马西郭庄-HLHF,"eNodeB名称=B马西郭庄-HLHF, 本地小区标识=0, 小区名称=B马西郭庄-HLHF-1, eNodeB标识=253932, 小区双工模式=CELL_TDD",B马西郭庄-HLHF-1,14870,14912,0.997,11467,11475,0.999,16,0,0.001,0.999,0,18,11201,0.002,0,0,4032,4033,0,0,5057,5071,0.999,0.997,0.998,0,0.998,1167932624,8416871320,367,0.024,1,0,2,0,4030,4033
07/17/2020 00:00:00,B马西郭庄-HLHF,"eNodeB名称=B马西郭庄-HLHF, 本地小区标识=1, 小区名称=B马西郭庄-HLHF-2, eNodeB标识=253932, 小区双工模式=CELL_TDD",B马西郭庄-HLHF-2,11860,11885,0.998,10517,10520,1,15,0,0.001,1,0,15,10239,0.001,0,0,106,106,26,26,5431,5446,0.981,0.995,0.994,1,0.994,1899567072,8423997992,125,0.01,14,0,2,0,104,106
07/17/2020 00:00:00,B马西郭庄-HLHF,"eNodeB名称=B马西郭庄-HLHF, 本地小区标识=2, 小区名称=B马西郭庄-HLHF-3, eNodeB标识=253932, 小区双工模式=CELL_TDD",B马西郭庄-HLHF-3,16500,16538,0.998,12054,12057,1,22,0,0.002,1,0,23,11887,0.002,0,0,3939,3941,13,18,7590,7602,0.999,0.997,0.999,0.611,0.998,1348548616,8809728352,122,0.007,1,2,0,0,3939,3941
07/18/2020 00:00:00,B马西郭庄-HLHF,"eNodeB名称=B马西郭庄-HLHF, 本地小区标识=0, 小区名称=B马西郭庄-HLHF-1, eNodeB标识=253932, 小区双工模式=CELL_TDD",B马西郭庄-HLHF-1,12975,12999,0.998,9172,9180,0.999,31,0,0.003,0.999,0,33,8921,0.004,0,0,3353,3353,0,0,5133,5159,1,0.995,0.997,0,0.997,1262205688,7386392160,343,0.026,0,0,0,0,3353,3353
07/18/2020 00:00:00,B马西郭庄-HLHF,"eNodeB名称=B马西郭庄-HLHF, 本地小区标识=1, 小区名称=B马西郭庄-HLHF-2, eNodeB标识=253932, 小区双工模式=CELL_TDD",B马西郭庄-HLHF-2,9483,9509,0.997,8095,8098,1,14,0,0.002,0.998,0,14,7835,0.002,0,0,69,71,19,20,5602,5618,0.944,0.996,0.996,0.95,0.995,711890456,6627800240,93,0.01,5,0,2,0,67,71
07/18/2020 00:00:00,B马西郭庄-HLHF,"eNodeB名称=B马西郭庄-HLHF, 本地小区标识=2, 小区名称=B马西郭庄-HLHF-3, eNodeB标识=253932, 小区双工模式=CELL_TDD",B马西郭庄-HLHF-3,20044,20111,0.997,15787,15791,1,32,0,0.002,0.999,0,34,15513,0.002,0,0,3398,3399,13,16,7228,7245,1,0.996,0.998,0.75,0.997,2068647336,9314495960,142,0.007,7,1,0,0,3398,3399
